instancia,execucao1,execucao2,execucao3,execucao4,execucao5,execucao6,execucao7,execucao8,execucao9,execucao10,custo_medio
a280,2579,2579,2579,2579,2579,2579,2579,2579,2579,2579,2579.000000
ali535,202375,202489,202501,202339,202362,202548,202339,202339,202454,202339,202408.500000
att48,10628,10628,10628,10628,10628,10628,10628,10628,10628,10628,10628.000000
att532,27735,27742,27722,27736,27720,27741,27740,27750,27752,27732,27737.000000
bayg29,1610,1610,1610,1610,1610,1610,1610,1610,1610,1610,1610.000000
bays29,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020.000000
berlin52,7542,7542,7542,7542,7542,7542,7542,7542,7542,7542,7542.000000
bier127,118282,118282,118282,118282,118282,118282,118282,118282,118282,118282,118282.000000
brazil58,25395,25395,25395,25395,25395,25395,25395,25395,25395,25395,25395.000000
brg180,1950,1950,1950,1950,1950,1950,1950,1950,1950,1950,1950.000000
burma14,3323,3323,3323,3323,3323,3323,3323,3323,3323,3323,3323.000000
ch130,6110,6110,6110,6110,6110,6110,6110,6110,6110,6110,6110.000000
ch150,6528,6528,6528,6528,6528,6528,6528,6528,6528,6528,6528.000000
d198,15780,15780,15780,15780,15780,15780,15780,15780,15780,15780,15780.000000
d493,35031,35050,35034,35054,35026,35073,35080,35009,35049,35044,35045.000000
dantzig42,699,699,699,699,699,699,699,699,699,699,699.000000
eil101,629,629,629,629,629,629,629,629,629,629,629.000000
eil51,426,426,426,426,426,426,426,426,426,426,426.000000
eil76,538,538,538,538,538,538,538,538,538,538,538.000000
fl417,11861,11861,11861,11861,11861,11861,11861,11861,11861,11861,11861.000000
fri26,937,937,937,937,937,937,937,937,937,937,937.000000
gil262,2380,2378,2378,2380,2378,2379,2378,2378,2379,2378,2378.600000
gr120,6942,6942,6942,6942,6942,6942,6942,6942,6942,6942,6942.000000
gr137,69853,69853,69853,69853,69853,69853,69853,69853,69853,69853,69853.000000
gr17,2085,2085,2085,2085,2085,2085,2085,2085,2085,2085,2085.000000
gr202,40160,40160,40160,40160,40160,40160,40160,40161,40160,40160,40160.100000
gr21,2707,2707,2707,2707,2707,2707,2707,2707,2707,2707,2707.000000
gr229,134602,134602,134616,134602,134602,134602,134602,134616,134602,134602,134604.800000
gr24,1272,1272,1272,1272,1272,1272,1272,1272,1272,1272,1272.000000
gr431,171466,171489,171567,171615,171459,171503,171448,171554,171603,171466,171517.000000
gr48,5046,5046,5046,5046,5046,5046,5046,5046,5046,5046,5046.000000
gr96,55209,55209,55209,55209,55209,55209,55209,55209,55209,55209,55209.000000
hk48,11461,11461,11461,11461,11461,11461,11461,11461,11461,11461,11461.000000
kroA100,21282,21282,21282,21282,21282,21282,21282,21282,21282,21282,21282.000000
kroA150,26524,26524,26524,26524,26524,26524,26524,26524,26524,26524,26524.000000
kroA200,29368,29368,29368,29368,29368,29368,29368,29368,29368,29368,29368.000000
kroB100,22141,22141,22141,22141,22141,22141,22141,22141,22141,22141,22141.000000
kroB150,26130,26130,26130,26130,26130,26130,26130,26130,26130,26132,26130.200000
kroB200,29437,29439,29438,29437,29437,29437,29437,29437,29437,29437,29437.300000
kroC100,20749,20749,20749,20749,20749,20749,20749,20749,20749,20749,20749.000000
kroD100,21294,21294,21294,21294,21294,21294,21294,21294,21294,21294,21294.000000
kroE100,22068,22068,22068,22068,22068,22068,22068,22068,22068,22068,22068.000000
lin105,14379,14379,14379,14379,14379,14379,14379,14379,14379,14379,14379.000000
lin318,42029,42051,42051,42050,42072,42029,42051,42091,42050,42091,42056.500000
linhp318,42080,42091,42029,42050,42050,42029,42091,42051,42051,42120,42064.200000
pcb442,50929,50793,50831,50951,50848,50922,50911,50778,50945,50895,50880.300000
pr107,44303,44303,44303,44303,44303,44303,44303,44303,44303,44303,44303.000000
pr124,59030,59030,59030,59030,59030,59030,59030,59030,59030,59030,59030.000000
pr136,96772,96772,96772,96772,96772,96772,96772,96772,96772,96772,96772.000000
pr144,58537,58537,58537,58537,58537,58537,58537,58537,58537,58537,58537.000000
pr152,73682,73682,73682,73682,73682,73682,73682,73682,73682,73682,73682.000000
pr226,80369,80369,80369,80369,80369,80369,80369,80369,80369,80369,80369.000000
pr264,49135,49135,49135,49135,49135,49135,49135,49135,49135,49135,49135.000000
pr299,48191,48191,48191,48191,48223,48191,48191,48191,48215,48191,48196.600000
pr76,108159,108159,108159,108159,108159,108159,108159,108159,108159,108159,108159.000000
rat195,2323,2323,2326,2324,2323,2325,2325,2323,2323,2323,2323.800000
rat99,1211,1211,1211,1211,1211,1211,1211,1211,1211,1211,1211.000000
rd100,7910,7910,7910,7910,7910,7910,7910,7910,7910,7910,7910.000000
rd400,15288,15297,15310,15293,15314,15284,15285,15291,15316,15294,15297.200000
si175,21407,21407,21407,21407,21407,21407,21407,21407,21407,21407,21407.000000
si535,48459,48462,48462,48453,48457,48470,48466,48461,48464,48454,48460.800000
st70,675,675,675,675,675,675,675,675,675,675,675.000000
swiss42,1273,1273,1273,1273,1273,1273,1273,1273,1273,1273,1273.000000
ts225,126643,126643,126643,126643,126643,126643,126643,126643,126643,126643,126643.000000
tsp225,3916,3916,3916,3916,3916,3916,3916,3916,3916,3916,3916.000000
u159,42080,42080,42080,42080,42080,42080,42080,42080,42080,42080,42080.000000
ulysses16,6859,6859,6859,6859,6859,6859,6859,6859,6859,6859,6859.000000
ulysses22,7013,7013,7013,7013,7013,7013,7013,7013,7013,7013,7013.000000
