instancia,execucao1,execucao2,execucao3,execucao4,execucao5,execucao6,execucao7,execucao8,execucao9,execucao10,custo_medio
a280,2579,2579,2579,2579,2579,2579,2579,2579,2579,2579,2579.000000
ali535,202517,202339,202411,202339,202506,202435,202445,202413,202339,202411,202415.500000
att48,10628,10628,10628,10628,10628,10628,10628,10628,10628,10628,10628.000000
att532,27726,27750,27727,27726,27756,27736,27699,27722,27750,27728,27732.000000
bayg29,1610,1610,1610,1610,1610,1610,1610,1610,1610,1610,1610.000000
bays29,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020.000000
berlin52,7542,7542,7542,7542,7542,7542,7542,7542,7542,7542,7542.000000
bier127,118282,118282,118282,118282,118282,118282,118282,118282,118282,118282,118282.000000
brazil58,25395,25395,25395,25395,25395,25395,25395,25395,25395,25395,25395.000000
brg180,1950,1950,1950,1950,1950,1950,1950,1950,1950,1950,1950.000000
burma14,3323,3323,3323,3323,3323,3323,3323,3323,3323,3323,3323.000000
ch130,6110,6110,6110,6110,6110,6110,6110,6110,6110,6110,6110.000000
ch150,6528,6528,6528,6528,6528,6528,6528,6528,6528,6528,6528.000000
d198,15780,15780,15780,15780,15780,15780,15780,15780,15780,15780,15780.000000
d493,35035,35026,35035,35029,35037,35066,35006,35038,35010,35080,35036.200000
dantzig42,699,699,699,699,699,699,699,699,699,699,699.000000
eil101,629,629,629,629,629,629,629,629,629,629,629.000000
eil51,426,426,426,426,426,426,426,426,426,426,426.000000
eil76,538,538,538,538,538,538,538,538,538,538,538.000000
fl417,11861,11861,11861,11861,11861,11861,11861,11861,11861,11861,11861.000000
fri26,937,937,937,937,937,937,937,937,937,937,937.000000
gil262,2381,2378,2380,2378,2378,2378,2378,2378,2378,2378,2378.500000
gr120,6942,6942,6942,6942,6942,6942,6942,6942,6942,6942,6942.000000
gr137,69853,69853,69853,69853,69853,69853,69853,69853,69853,69853,69853.000000
gr17,2085,2085,2085,2085,2085,2085,2085,2085,2085,2085,2085.000000
gr202,40187,40160,40175,40160,40175,40161,40161,40160,40160,40160,40165.900000
gr21,2707,2707,2707,2707,2707,2707,2707,2707,2707,2707,2707.000000
gr229,134656,134602,134616,134616,134666,134616,134602,134644,134658,134620,134629.600000
gr24,1272,1272,1272,1272,1272,1272,1272,1272,1272,1272,1272.000000
gr431,171491,171763,171535,171679,171473,171459,171623,171448,171439,171714,171562.400000
gr48,5046,5046,5046,5046,5046,5046,5046,5046,5046,5046,5046.000000
gr96,55209,55209,55209,55209,55209,55209,55209,55209,55209,55209,55209.000000
hk48,11461,11461,11461,11461,11461,11461,11461,11461,11461,11461,11461.000000
kroA100,21282,21282,21282,21282,21282,21282,21282,21282,21282,21282,21282.000000
kroA150,26524,26524,26524,26524,26524,26524,26524,26524,26524,26524,26524.000000
kroA200,29368,29368,29368,29368,29368,29368,29368,29368,29368,29368,29368.000000
kroB100,22141,22141,22141,22141,22141,22141,22141,22141,22141,22141,22141.000000
kroB150,26130,26130,26130,26130,26130,26130,26130,26130,26130,26130,26130.000000
kroB200,29439,29437,29437,29437,29437,29437,29437,29437,29437,29438,29437.300000
kroC100,20749,20749,20749,20749,20749,20749,20749,20749,20749,20749,20749.000000
kroD100,21294,21294,21294,21294,21294,21294,21294,21294,21294,21294,21294.000000
kroE100,22068,22068,22068,22068,22068,22068,22068,22068,22068,22068,22068.000000
lin105,14379,14379,14379,14379,14379,14379,14379,14379,14379,14379,14379.000000
lin318,42029,42051,42082,42029,42050,42029,42091,42080,42029,42051,42052.100000
